,Xdist,Ydist,backhand,forehand,hammer,completion
0,8.0,0.0,1,0,0,1.0
1,-1.0,16.0,1,0,0,1.0
2,7.0,9.0,1,0,0,1.0
3,14.0,4.0,1,0,0,1.0
4,-12.0,-4.0,0,1,0,1.0
5,-1.0,-20.0,0,1,0,1.0
6,1.0,17.0,1,0,0,1.0
7,12.0,4.0,1,0,0,1.0
8,5.0,-5.0,1,0,0,1.0
9,-8.0,-1.0,0,1,0,1.0
10,10.0,-9.0,1,0,0,1.0
11,7.0,-4.0,1,0,0,1.0
12,2.0,9.0,1,0,0,1.0
13,-1.0,-13.0,0,1,0,1.0
14,17.0,3.0,1,0,0,1.0
15,-11.0,-1.0,1,0,0,1.0
16,10.0,0.0,1,0,0,1.0
17,7.0,0.0,1,0,0,1.0
18,6.0,-2.0,1,0,0,1.0
20,-1.0,5.0,1,0,0,1.0
21,4.0,-3.0,1,0,0,1.0
22,-8.0,-6.0,1,0,0,1.0
23,0.0,6.0,0,1,0,1.0
24,0.0,11.0,0,1,0,1.0
25,6.0,-7.0,1,0,0,1.0
26,-9.0,-9.0,1,0,0,1.0
27,-21.0,2.0,0,1,0,1.0
28,-41.0,5.0,0,0,1,1.0
29,-10.0,-7.0,1,0,0,1.0
30,5.0,7.0,1,0,0,1.0
31,-1.0,-6.0,1,0,0,1.0
32,0.0,10.0,1,0,0,1.0
33,0.0,-16.0,1,0,0,1.0
34,3.0,12.0,1,0,0,1.0
35,-11.0,18.0,0,1,0,1.0
36,-3.0,-7.0,1,0,0,1.0
37,-8.0,1.0,1,0,0,1.0
38,-6.0,4.0,1,0,0,0.0
39,-35.0,15.0,0,1,0,1.0
40,-5.0,0.0,1,0,0,1.0
41,1.0,-9.0,1,0,0,1.0
42,-10.0,10.0,0,1,0,1.0
43,8.0,-2.0,1,0,0,1.0
44,-52.0,-27.0,1,0,0,1.0
45,-13.0,0.0,1,0,0,1.0
46,8.0,0.0,0,1,0,1.0
47,-14.0,0.0,1,0,0,1.0
48,-10.0,5.0,1,0,0,1.0
49,-15.0,-12.0,1,0,0,1.0
50,1.0,12.0,1,0,0,1.0
51,-1.0,-9.0,1,0,0,1.0
52,9.0,0.0,0,1,0,1.0
53,-14.0,10.0,0,1,0,1.0
54,-5.0,16.0,0,1,0,1.0
55,11.0,-3.0,1,0,0,1.0
56,0.0,-17.0,1,0,0,1.0
57,-6.0,-15.0,1,0,0,0.0
58,13.0,-13.0,1,0,0,1.0
59,-7.0,14.0,0,1,0,1.0
60,0.0,-19.0,0,1,0,1.0
61,-6.0,-15.0,1,0,0,0.0
62,-33.0,-30.0,1,0,0,1.0
63,7.0,5.0,1,0,0,1.0
64,3.0,-5.0,1,0,0,1.0
65,4.0,-5.0,1,0,0,1.0
66,4.0,6.0,1,0,0,1.0
67,-6.0,19.0,0,1,0,1.0
68,-20.0,5.0,0,1,0,1.0
69,-2.0,-7.0,1,0,0,1.0
70,-17.0,16.0,0,1,0,1.0
71,-10.0,-5.0,1,0,0,1.0
72,6.0,-3.0,1,0,0,1.0
73,-7.0,-3.0,0,1,0,1.0
74,-2.0,5.0,1,0,0,1.0
75,0.0,-11.0,1,0,0,1.0
76,-23.0,15.0,0,1,0,1.0
77,-2.0,-8.0,1,0,0,1.0
78,-13.0,11.0,0,1,0,1.0
