ThrowID,X2,GameID,throw_team_score,def_team_score,Score,point_per_game,poss_per_point,score_on_poss,Direction,throw_per_game,throw_per_point,throw_per_poss,throw_team,Thrower,receiver,hand_rl,throw_type,throw_curve,Force,Stall,completion,bad_throw,GEO_Xstart,GEO_Ystart,GEO_Xend,GEO_Yend,RO_Xstart,RO_Ystart,RO_Xend,RO_Yend,Xdist,Ydist,Dist,pull,goal
1-Jan,2,1,0,0,0-0,1,1,1,1,1,1,1,TS,1,36,R,BH,F,NA,0,1,0,-32.5,-10.5,-24.5,-10.5,-32.5,-10.5,-24.5,-10.5,8,0,8,NA,0
2-Jan,3,1,0,0,0-0,1,1,1,1,2,2,2,TS,36,1,R,BH,F,B,4,1,0,-24.5,-10.5,-25.5,5.5,-24.5,-10.5,-25.5,5.5,-1,16,16,NA,0
3-Jan,4,1,0,0,0-0,1,1,1,1,3,3,3,TS,1,27,R,BH,F,B,1,1,0,-25.5,5.5,-18.5,14.5,-25.5,5.5,-18.5,14.5,7,9,11.4,NA,0
4-Jan,5,1,0,0,0-0,1,1,1,1,4,4,4,TS,27,45,R,BH,OI,B,1,1,0,-18.5,14.5,-4.5,18.5,-18.5,14.5,-4.5,18.5,14,4,14.6,NA,0
5-Jan,6,1,0,0,0-0,1,1,1,1,5,5,5,TS,45,1,R,F,F,B,2,1,0,-4.5,18.5,-16.5,14.5,-4.5,18.5,-16.5,14.5,-12,-4,12.6,NA,0
6-Jan,7,1,0,0,0-0,1,1,1,1,6,6,6,TS,1,36,R,F,F,NA,0,1,0,-16.5,14.5,-17.5,-5.5,-16.5,14.5,-17.5,-5.5,-1,-20,20,NA,0
7-Jan,8,1,0,0,0-0,1,1,1,1,7,7,7,TS,36,1,R,BH,F,B,2,1,0,-17.5,-5.5,-16.5,11.5,-17.5,-5.5,-16.5,11.5,1,17,17,NA,0
8-Jan,9,1,0,0,0-0,1,1,1,1,8,8,8,TS,1,27,R,BH,F,B,1,1,0,-16.5,11.5,-4.5,15.5,-16.5,11.5,-4.5,15.5,12,4,12.6,NA,0
9-Jan,10,1,0,0,0-0,1,1,1,1,9,9,9,TS,27,28,R,BH,F,B,1,1,0,-4.5,15.5,0.5,10.5,-4.5,15.5,0.5,10.5,5,-5,7.1,NA,0
10-Jan,11,1,0,0,0-0,1,1,1,1,10,10,10,TS,28,1,R,F,F,B,2,1,0,0.5,10.5,-7.5,9.5,0.5,10.5,-7.5,9.5,-8,-1,8.1,NA,0
